,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소
551,신쭈꾸,최신 버전 앱,서울특별시 강북구 솔매로 100,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/Fr_AIvFkXq1h
552,카페백야,최신 버전 앱,서울특별시 강북구 노해로21길 7 2F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/hTKq6MreqawN
553,비커피,최신 버전 앱,서울특별시 강북구 도봉로15길 11 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/yk5v5yZhoJZ9
554,옥류헌,최신 버전 앱,서울특별시 강북구 삼양로181길 142,"
한정식 / 백반 / 정통 한식
",3만원-4만원,https://www.mangoplate.com//restaurants/igzvmyj2_o
555,미아골목냉면,최신 버전 앱,서울특별시 강북구 도봉로13길 22,"
국수 / 면 요리
",만원 미만,https://www.mangoplate.com//restaurants/vbVQqCUIPu7q
556,온기,최신 버전 앱,서울특별시 강북구 도봉로55길 4,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/BhTtSe3InyJO
557,마늘과올리브,최신 버전 앱,서울특별시 강북구 도봉로 352 삼주빌딩 117호,"
이탈리안
",만원-2만원,https://www.mangoplate.com//restaurants/c9AbWIuwiP
558,한우고기농장,최신 버전 앱,서울특별시 강북구 삼양로173길 102,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/mlmCijp3CzPi
559,오센,최신 버전 앱,서울특별시 강북구 도봉로 36,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/QM6H8DhGOSv_
560,주막,최신 버전 앱,서울특별시 강북구 월계로7나길 30-3,"
전통 주점 / 포차
",,https://www.mangoplate.com//restaurants/OK6cIQjSSy
561,청양육개장,"
                              4.3
                            ",서울특별시 강북구 도봉로53길 7 1F,"
탕 / 찌개 / 전골
",만원 미만,https://www.mangoplate.com//restaurants/kmDRRl_L9zVV
562,마리웨일마카롱,최신 버전 앱,서울특별시 강북구 한천로139길 17,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/jrxFwR21OEz2
563,대찬식당,최신 버전 앱,서울특별시 강북구 한천로139나길 20,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/rXlMJx9uU3Qy
564,창신동옥천매운족발,최신 버전 앱,서울특별시 강북구 노해로 53,"
한정식 / 백반 / 정통 한식
",,https://www.mangoplate.com//restaurants/YwO94RZYDz
565,카페두두,최신 버전 앱,서울특별시 강북구 도봉로98길 56,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/T5MfTaMcghyk
566,돝제주흑돼지,최신 버전 앱,서울특별시 강북구 솔샘로 289,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/k-GAGb4BHAtJ
567,두메골,최신 버전 앱,서울특별시 강북구 삼양로 187,"
고기 요리
",만원 미만,https://www.mangoplate.com//restaurants/CcOoVEolWEd7
568,김스시,최신 버전 앱,서울특별시 강북구 솔매로 118-1,"
회 / 스시
",만원-2만원,https://www.mangoplate.com//restaurants/fKIqyvV6x3xG
569,물속세상,최신 버전 앱,서울특별시 강북구 노해로8길 22,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/h1zxc8IIWAbQ
570,오니바브런치클럽,최신 버전 앱,서울특별시 강북구 도봉로97길 33-1,"
브런치 / 버거 / 샌드위치
",만원-2만원,https://www.mangoplate.com//restaurants/zdWLSU0Kdxa2
571,미아회관,최신 버전 앱,서울특별시 강북구 도봉로10가길 15 1F,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/zRP8zLrpL8PE
572,한천기와,최신 버전 앱,서울특별시 강북구 한천로132길 11,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/UZfPVpWYbyNQ
573,미성반점,최신 버전 앱,서울특별시 강북구 4.19로 37,"
정통 중식 / 일반 중식
",만원 미만,https://www.mangoplate.com//restaurants/LqZzrUKGEQzJ
