,0
생활맥주,3.0
평양냉면,3.4
도르가마카롱,3.0
준초밥참치,4.0
카츠곳간,4.0
왕코등갈비,5.0
구씨네매운집,4.0
크랩프트,2.5
새로이,4.0
카페몽글,3.5
정겨운집,3.33
강촌숯불닭갈비,3.64
하우돈곱창,3.44
꼼이네,3.0
송주불냉면,4.0
시오,2.5
테루,2.67
부벽루,4.0
아이덴티티커피랩,2.67
만해횟수산,2.0
참조은순대국전문점,3.0
등촌샤브칼국수,3.14
만복영양솥밥,2.5
부뚜막청국장,3.7
가원양꼬치,4.5
방다방로스터스,1.0
레시피타운,3.4
밀앤비스트로,5.0
밀주방,3.0
구삼이,5.0
대림원조마늘통닭,2.5
탐나는돼지,5.0
종가집,3.0
멘무샤,4.0
갓파스시,2.79
최우영스시,3.0
포36거리,2.71
낭만부대찌개,3.73
북촌손만두,2.5
더제이케이키친박스,3.38
해초랑,3.33
밥복끼,2.0
05식당,4.33
신기소,2.0
씨카페,2.33
고마워케이크,3.0
생어거스틴,3.67
철판목장,3.0
보나베띠,3.0
스시메이진,3.08
한옥집,3.5
샐러디,2.5
월래순교자관,3.2
헤비스테이크,3.0
은행나무손칼국수,3.0
이미커피,3.67
빵굼터,3.0
주주네포차,4.0
에머이,2.89
걸작떡볶이,3.67
돌참치,4.0
채선당,3.47
베나레스,2.84
이게국수집,4.0
초밥설,2.5
손오공마라탕,3.4
옛날마차,2.83
호철네족발보쌈,3.0
태백산보신탕,5.0
춘자싸롱,3.0
나살던고향,3.0
경성양꼬치,3.5
공사중A,5.0
육식예찬,3.33
골목길,3.33
신림춘천집,3.27
화양가옥,3.67
미쓰족발,3.43
맛찬들왕소금구이,3.3
메이비,3.4
니와참치,3.0
한판소갈비,3.29
담소사골순대,3.67
경양카츠,3.31
박용석스시,2.43
담미온,3.0
라마노피자,2.85
마피아피자펍,3.8
입춘,3.8
고바우덩어리생고기,4.0
우리들숯불갈비,4.0
도림상회,4.5
상하이포차,3.5
아씨펍,2.75
아고스토 타코스,4.0
스쿰빗33,3.4
청해진수산,4.67
밀리,2.82
다트엔젤스,4.0
황제왕족발,3.0
숙성의미껍데기,3.67
고기굽는방앗간,2.5
곱창역,3.0
올때컵파스타,4.0
팔칠닭강정,2.25
신선도,2.4
말뚝곱창,3.22
미정국수0410,3.0
경식이네,3.0
시골통돼지볶음,3.33
인디오븐,3.33
뒤뜰,3.4
메이로드,3.33
태기산더덕순대,3.25
까페봉주르마담,3.0
왕뼈감자탕,2.67
데일리 스위츠,3.47
아빠의 바게트,3.5
브레드스팟,3.18
무드쉐어,3.2
경성초밥,4.08
표준커피,2.93
Ddami Coffee,3.0
키노야,4.0
늘해돈,2.67
만취,3.5
공릉회수산,3.25
봉평산골메밀촌,3.0
스시쟁이,2.47
쪼매매운떡볶이,3.4
기린,3.14
네코정,2.8
치어스,2.57
샤오린,2.67
달콤한순간,3.38
던모스,2.87
페페그라노,3.6
브로이하우스바네하임,2.9
뽀스뜨레,3.22
플랫커피,2.67
라라브레드,3.42
알러이,4.0
로지다이닝,3.44
마이브라더스,3.6
멍텅구리즉석떡볶이,2.4
민속주점 동학,3.4
유연카레,3.5
신가네칼국수,4.14
버거투버거,3.79
참누렁소가든,4.0
제형면옥,3.4
스시준,3.25
베트남노상식당,3.0
설국,2.0
마실,2.0
스시하쿠야,4.33
금남커퓌,3.0
1986베이커,3.4
며느리도몰라,3.38
박대박부대찌개,4.0
썸머타이,3.11
전민규의황제누룽지탕,2.33
이자카야모리,2.67
새마을식당,4.0
낙원스낵,3.11
어글리스토브,2.69
제임스키친,3.07
털보고된이,2.8
치치,3.5
한신포차,3.43
본가,5.0
윤씨네족보,3.0
가양양꼬치,3.33
스시초심,5.0
하나미돈부리,4.0
또와순두부수제비,3.56
올드델리,3.67
만원수산,2.5
