,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소
835,창동짬뽕,"
3.5
",서울특별시 도봉구 노해로63길 84,"
정통 중식 / 일반 중식
",만원 미만,https://www.mangoplate.com//restaurants/jOttJQnfgkLy
836,카페고르,"
3.4
",서울특별시 도봉구 도봉로112길 38 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/_u9xEYiu7_bL
837,화승꽈배기,"
3.4
",서울특별시 도봉구 도봉로114길 22-5,만원 미만,,https://www.mangoplate.com//restaurants/P1BzUETPmjLt
838,사이코우스시,"
3.3
",서울특별시 도봉구 방학로7길 99,"
회 / 스시
",만원-2만원,https://www.mangoplate.com//restaurants/-gNCobpq9T
839,리틀방콕,"
3.3
",서울특별시 도봉구 도봉로114길 22,"
태국 음식
",만원 미만,https://www.mangoplate.com//restaurants/_LXOJUJ3n5Gb
840,스시혼,"
2.9
",서울특별시 도봉구 도봉로110길 8,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/NZxK5eTxKi
841,백번가코다리,최신 버전 앱,서울특별시 도봉구 마들로11가길 6-25 창동월가타워 1F,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/8Dlsh5paQL8G
842,카페7179,최신 버전 앱,서울특별시 도봉구 도봉로110길 97 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/VuVkNH846JL9
843,카페오븐,"
                              4.5
                            ",서울특별시 도봉구 해등로16길 12 현대아파트,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/XY3_mP1vjwRT
844,옛집갈비,최신 버전 앱,서울특별시 도봉구 도봉로109길 24,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/S76JoWeKk-Ix
845,푸쿠푸쿠,"
                              4.6
                            ",서울특별시 도봉구 노해로45길 17 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/ARBcvU5gh3kP
846,경복궁,최신 버전 앱,서울특별시 도봉구 도봉로 610 1F,"
한정식 / 백반 / 정통 한식
",2만원-3만원,https://www.mangoplate.com//restaurants/GDWgQAKLlP
847,꽃돼지,최신 버전 앱,서울특별시 도봉구 도봉로104길 104,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/HpIge00T1w3i
848,알레싸,최신 버전 앱,서울특별시 도봉구 도봉로150다길 28 지음재힐스상가 2F 203호,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/rjbmlgae6Sk7
849,카페 152길,최신 버전 앱,서울특별시 도봉구 도봉로152길 29-4,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/-HXvNAut0x24
850,맥반석조개구이,최신 버전 앱,서울특별시 도봉구 도봉로110나길 11,"
해산물 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/KiV4bTOwSh
851,스시화,최신 버전 앱,서울특별시 도봉구 도봉로 506,"
회 / 스시
",만원-2만원,https://www.mangoplate.com//restaurants/tNUnJ9PpK5iA
852,햇살힐링식당,최신 버전 앱,서울특별시 도봉구 도봉로147길 17 1F,"
돈부리 / 일본 카레 / 벤토
",만원 미만,https://www.mangoplate.com//restaurants/FWR0dImCRaOA
853,덩어리,최신 버전 앱,서울특별시 도봉구 노해로63길 79,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RG9h1prjkS
854,고기굽는베베,최신 버전 앱,서울특별시 도봉구 도봉로 723,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/5zIx9wxwK75x
855,몽상가 크레이프 전문점,최신 버전 앱,서울특별시 도봉구 도봉로143길 30,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/DgcYNZUpqiQ_
856,어랑,최신 버전 앱,서울특별시 도봉구 도봉로170길 2,"
한정식 / 백반 / 정통 한식
",만원 미만,https://www.mangoplate.com//restaurants/BQeWvk-v4SpS
857,감포면옥,최신 버전 앱,서울특별시 도봉구 노해로 243,"
고기 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/ENTd8EsViw
858,Wake Up Good Night,최신 버전 앱,서울특별시 도봉구 삼양로146길 10,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/fNAtMOutSwMF
859,구월십일,최신 버전 앱,서울특별시 도봉구 도봉로112길 26 1F,"
까스 요리
",만원 미만,https://www.mangoplate.com//restaurants/HjOiLNIMLuR1
860,뻬지아슈,최신 버전 앱,서울특별시 도봉구 도봉로150길 43 131호,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/AEPaSrI3ZzWa
861,산책,최신 버전 앱,서울특별시 도봉구 삼양로144길 18,"
정통 일식 / 일반 일식
",만원 미만,https://www.mangoplate.com//restaurants/dfYu-aYxYG
862,도봉산양고기,최신 버전 앱,서울특별시 도봉구 도봉로191길 63,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/POpdi9dpkf
863,카페방학,최신 버전 앱,서울특별시 도봉구 도당로6길 30-6,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/dG5gh2Q5omIW
864,곰파곰파의 뜨라또리아,최신 버전 앱,서울특별시 도봉구 노해로 230 오성타운,"
이탈리안
",만원-2만원,https://www.mangoplate.com//restaurants/j9VBVR_E_NVt
865,호감,최신 버전 앱,서울특별시 도봉구 도봉로152길 27 1F,"
브런치 / 버거 / 샌드위치
",만원 미만,https://www.mangoplate.com//restaurants/9H53EIWG8IhQ
866,포유,최신 버전 앱,서울특별시 도봉구 해등로16길 7,"
베트남 음식
",만원 미만,https://www.mangoplate.com//restaurants/CpjUEUpf9VdH
867,카페더로비,최신 버전 앱,서울특별시 도봉구 방학로 171-5 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/lTbJszcZkSWz
868,무궁화로스터즈,최신 버전 앱,서울특별시 도봉구 도봉로112길 23 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/0-Cb2YWUqAGm
869,누들아한타이,최신 버전 앱,서울특별시 도봉구 삼양로144길 3-8,"
태국 음식
",만원 미만,https://www.mangoplate.com//restaurants/zxg9fQn_8g
870,일월생,최신 버전 앱,서울특별시 도봉구 해등로 180,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/vR9MiQj2CwvT
871,599버거,최신 버전 앱,서울특별시 도봉구 도봉로 599 B1,"
브런치 / 버거 / 샌드위치
",만원-2만원,https://www.mangoplate.com//restaurants/ftWz19KynXj3
872,수수,최신 버전 앱,서울특별시 도봉구 마들로 693,"
정통 중식 / 일반 중식
",만원 미만,https://www.mangoplate.com//restaurants/N28LNT4xFAcq
873,달야,최신 버전 앱,서울특별시 도봉구 도봉로106길 23 현대홈씨티 1F,"
회 / 스시
",만원-2만원,https://www.mangoplate.com//restaurants/LEcLkUzBoJbl
874,묵은지사랑,"
                              4.7
                            ",서울특별시 도봉구 도봉로164길 38,"
한정식 / 백반 / 정통 한식
",만원-2만원,https://www.mangoplate.com//restaurants/wHugq8KghM5c
875,88팬케익스,최신 버전 앱,서울특별시 도봉구 마들로 650 도봉월드상가 2F 223호,"
브런치 / 버거 / 샌드위치
",만원-2만원,https://www.mangoplate.com//restaurants/hexVB5cT52p5
