,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소
955,고기싸롱,최신 버전 앱,서울특별시 도봉구 도봉로 454,"
뷔페
",만원-2만원,https://www.mangoplate.com//restaurants/JXFNAMIOivDr
956,풍천장어직판장,최신 버전 앱,서울특별시 도봉구 도봉로 462-1,만원-2만원,,https://www.mangoplate.com//restaurants/PmbRKvjPhOrl
957,사거리짬뽕집,최신 버전 앱,서울특별시 도봉구 방학로 99-16,"
정통 중식 / 일반 중식
",만원 미만,https://www.mangoplate.com//restaurants/u9sqkyApYb
958,카페비,최신 버전 앱,서울특별시 도봉구 해등로 67,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/mHahUaiYMOdK
959,콩사랑두부,최신 버전 앱,서울특별시 도봉구 도봉산4길 10,"
기타 한식
",,https://www.mangoplate.com//restaurants/Y2vlksCEcP
960,메이콴,최신 버전 앱,서울특별시 도봉구 마들로 664-11 현대리치타운 1F 102호,"
정통 중식 / 일반 중식
",만원-2만원,https://www.mangoplate.com//restaurants/mr88u2EKi0Cm
961,도봉산커피,최신 버전 앱,서울특별시 도봉구 도봉산4가길 4,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/Rbkw6wXZtqLN
962,너구리해장국,최신 버전 앱,서울특별시 도봉구 시루봉로 149 도봉그린빌라,"
탕 / 찌개 / 전골
",만원 미만,https://www.mangoplate.com//restaurants/0unKoXNwNnqv
963,피자꾼,최신 버전 앱,서울특별시 도봉구 노해로69길 26 창동시티월드,"
기타 양식
",만원-2만원,https://www.mangoplate.com//restaurants/usfb4jYNsxeD
964,디아망디저트,최신 버전 앱,서울특별시 도봉구 덕릉로 241,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/M_2VoSSdPYCR
965,코지더힐,최신 버전 앱,서울특별시 도봉구 마들로11길 74 2F,"
치킨 / 호프 / 펍
",만원 미만,https://www.mangoplate.com//restaurants/1EeLH_PqhFc5
966,온도감,최신 버전 앱,서울특별시 도봉구 도당로 66-1,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/1PRbxoCShq8S
967,경성주막1929,최신 버전 앱,서울특별시 도봉구 도봉로 730,"
일반 주점
",만원-2만원,https://www.mangoplate.com//restaurants/qM5fAWJjow7F
968,와스예떡볶이,최신 버전 앱,서울특별시 도봉구 도봉로147길 19 ,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/o1Rx_C1meFCh
969,카츠다담,최신 버전 앱,서울특별시 도봉구 도봉로152길 31,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RbB4ineDmH44
970,구름산추어탕,최신 버전 앱,서울특별시 도봉구 도봉로 588,"
탕 / 찌개 / 전골
",만원 미만,https://www.mangoplate.com//restaurants/xmk6RJ7opyLh
971,서울마님죽,최신 버전 앱,서울특별시 도봉구 도봉로113길 8,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/GzINi-sVraWW
972,우설화,최신 버전 앱,서울특별시 도봉구 도봉로 526,"
고기 요리
",3만원-4만원,https://www.mangoplate.com//restaurants/yF-pPfO9mS46
973,황금코다리,최신 버전 앱,서울특별시 도봉구 시루봉로 68,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/U2OcqxPix-x_
974,글림,최신 버전 앱,서울특별시 도봉구 도봉로118길 6-8 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/CgY65yL82llU
975,포차더쎈,최신 버전 앱,서울특별시 도봉구 도봉로129길 23,"
전통 주점 / 포차
",만원-2만원,https://www.mangoplate.com//restaurants/233f5OSCk6_2
976,세평반부엌,최신 버전 앱,서울특별시 도봉구 우이천로 356,"
퓨전 한식
",만원 미만,https://www.mangoplate.com//restaurants/d_sv2AngWUYo
977,엘수에뇨,최신 버전 앱,서울특별시 도봉구 삼양로142길 3,"
남미 음식
",만원 미만,https://www.mangoplate.com//restaurants/ydM9MoFvB1jK
978,힘찬장어,최신 버전 앱,서울특별시 도봉구 노해로69길 21-11 영진빌딩 1F,"
해산물 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/KqHI6Pn0ocFJ
979,오리마을,최신 버전 앱,서울특별시 도봉구 노해로 163,"
닭 / 오리 요리
",,https://www.mangoplate.com//restaurants/laFtRawph3
980,미소돈까스,최신 버전 앱,서울특별시 도봉구 해등로 158,"
까스 요리
",만원 미만,https://www.mangoplate.com//restaurants/pjMWU0KVKVtP
981,고메즈,최신 버전 앱,서울특별시 도봉구 해등로17길 44,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/c3S_Z60QoDMR
982,미스터빽실장종합어시장,최신 버전 앱,서울특별시 도봉구 도봉로 458 1F,"
해산물 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/02GWxeJLX544
983,인디언소울,최신 버전 앱,서울특별시 도봉구 도봉산길 12-15,"
스테이크 / 바베큐
",2만원-3만원,https://www.mangoplate.com//restaurants/PKzYyZmiKXdI
984,동해수산,최신 버전 앱,서울특별시 도봉구 도봉로 663-8,"
해산물 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/NlRkA-KGXT
985,성지족발,최신 버전 앱,서울특별시 도봉구 도당로 129,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/LYJrYZIVOv56
986,찰리네맥주집,최신 버전 앱,서울특별시 도봉구 노해로63가길 29 B01호,"
일반 주점
",만원 미만,https://www.mangoplate.com//restaurants/JhEdrh_JyHbR
987,도꼬정,최신 버전 앱,서울특별시 도봉구 삼양로154길 11,"
퓨전 한식
",만원 미만,https://www.mangoplate.com//restaurants/VBuNAZsnKG-s
988,주인장이볶은커피,최신 버전 앱,서울특별시 도봉구 마들로 772,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/6fg9dKbK-yi7
989,당일왕족발,최신 버전 앱,서울특별시 도봉구 우이천로4라길 6,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/O7P2Xay3-ikU
990,언니네키친,최신 버전 앱,서울특별시 도봉구 시루봉로 206 1F,"
퓨전 양식
",만원-2만원,https://www.mangoplate.com//restaurants/V7WfgdnrM1r3
991,도봉산갈비,최신 버전 앱,서울특별시 도봉구 도봉로 915,"
고기 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/F45bUHlTZb
992,도레미분식즉석떡볶이,최신 버전 앱,서울특별시 도봉구 삼양로144길 18,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/E4gjv519ou
993,비스트로슬로우,최신 버전 앱,서울특별시 도봉구 방학로 169,"
이탈리안
",만원-2만원,https://www.mangoplate.com//restaurants/seM5Uqczw0
994,호호분식,최신 버전 앱,서울특별시 도봉구 도봉로121길 32,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/Dquur2yg5jJW
995,엉클두,최신 버전 앱,서울특별시 도봉구 해등로16길 54,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/Kqlf_E5_WA
996,포36거리,최신 버전 앱,서울특별시 도봉구 삼양로 534-6,"
베트남 음식
",만원 미만,https://www.mangoplate.com//restaurants/ylgVcFiyVR
997,카페레,최신 버전 앱,서울특별시 도봉구 삼양로144길 9,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/01Hc-EFsbQ
998,에꼴드마카롱,최신 버전 앱,서울특별시 도봉구 도봉로147길 60 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/UU5ayP2d8cyO
999,양국,최신 버전 앱,서울특별시 도봉구 삼양로 538-6,"
기타 일식
",만원 미만,https://www.mangoplate.com//restaurants/EJAKl9_7Zqpj
