이름,평점,주소,좌표,구,위도,경도,Cluster
이야기,3.8,서울특별시 관악구 관악로 1 법학도서관 1F,"(37.4624165, 126.9517735)",관악구,37.462416499999996,126.95177350000002,[]
히토리더야끼니꾸,3.8,서울특별시 관악구 남부순환로230길 8,"(37.47973, 126.9552508)",관악구,37.479729999999996,126.95525079999999,[13]
포36거리,3.8,서울특별시 관악구 호암로24길 22 성광독서실 1F,"(37.4695693, 126.9343144)",관악구,37.469569299999996,126.9343144,[14]
정숙성,3.8,서울특별시 관악구 남부순환로226길 31 1F,"(37.4791861, 126.9537648)",관악구,37.47918610000001,126.9537648,[13]
누들하우스,3.8,서울특별시 관악구 관악로14나길 6 1F,"(37.4777642, 126.9573268)",관악구,37.4777642,126.95732679999999,[13]
천년곱돌,3.8,서울특별시 관악구 쑥고개로 129,"(37.4789843, 126.950923)",관악구,37.4789843,126.950923,[13]
포포인,3.8,서울특별시 관악구 관악로 1,"(37.480912, 126.953218)",관악구,37.480912,126.95321799999999,[13]
오른손푸드카페,3.8,서울특별시 관악구 관악로14길 111 1F,"(37.477897, 126.9584861)",관악구,37.477897,126.9584861,[13]
더랩 24 7,3.8,서울특별시 관악구 관악로 1 서울대학교 사범대학 12동 기초사범교육협력센터 B1,"(37.4601267, 126.9548356)",관악구,37.4601267,126.9548356,[]
오후의과일,3.7,서울특별시 관악구 관악로14길 15 2F,"(37.4791817, 126.9534766)",관악구,37.479181700000005,126.95347659999999,[13]
니와,3.7,서울특별시 관악구 호암로22길 69,"(37.4686199, 126.9366476)",관악구,37.46861989999999,126.9366476,[14]
지구당,3.7,서울특별시 관악구 관악로12길 5,"(37.4782112, 126.9527541)",관악구,37.478211200000004,126.95275409999999,[13]
아띠85도씨베이커리,3.7,서울특별시 관악구 쑥고개로 137 1F,"(37.4788431, 126.9517707)",관악구,37.478843100000006,126.9517707,[13]
온돌,3.7,서울특별시 관악구 봉천로 534,"(37.4786512, 126.956964)",관악구,37.4786512,126.95696399999999,[13]
티라노,3.7,서울특별시 관악구 남부순환로230길 39,"(37.4782967, 126.9555862)",관악구,37.4782967,126.9555862,[13]
우디가스트로,3.7,서울특별시 관악구 관악로 116,"(37.4755658, 126.9530714)",관악구,37.4755658,126.95307140000001,[13]
카페미엘,3.7,서울특별시 관악구 관악로16길 38 2F,"(37.479681, 126.9547122)",관악구,37.479681,126.9547122,[13]
포도원삼계탕,3.7,서울특별시 관악구 신림로 312,"(37.4821435, 126.9301389)",관악구,37.4821435,126.9301389,[16]
카페서른살,3.7,서울특별시 관악구 관악로12길 46,"(37.4776805, 126.9548915)",관악구,37.4776805,126.9548915,[13]
서울뼛국,3.7,서울특별시 관악구 관천로 36-1,"(37.4831599, 126.9275566)",관악구,37.4831599,126.92755659999999,[16]
황소곱창,3.7,서울특별시 관악구 관악로15길 39,"(37.4802796, 126.9501722)",관악구,37.4802796,126.95017220000001,[13]
옐로우버터드림,3.7,서울특별시 관악구 관악로14나길 10 2F,"(37.4776206, 126.957287)",관악구,37.4776206,126.95728700000001,[13]
호랑이면,3.7,서울특별시 관악구 남부순환로234길 27,"(37.4781027, 126.9568902)",관악구,37.4781027,126.9568902,[13]
오신매운갈비찜,3.7,서울특별시 관악구 남부순환로230길 14,"(37.4794113, 126.9552903)",관악구,37.479411299999995,126.95529029999999,[13]
아로이막막,3.7,서울특별시 관악구 남부순환로230길 27,"(37.4788497, 126.9556712)",관악구,37.478849700000005,126.95567120000001,[13]
