0
"[[ 37.5260204 127.037079 ]
 [ 37.5258965 127.0370649]
 [ 37.5275573 127.0392973]
 [ 37.5242854 127.036503 ]
 [ 37.5221261 127.038334 ]
 [ 37.5229002 127.0344856]
 [ 37.5229874 127.0347843]
 [ 37.5231962 127.0348687]
 [ 37.5256156 127.0345445]
 [ 37.5272764 127.0352359]
 [ 37.5239832 127.0403296]
 [ 37.5248317 127.0379757]
 [ 37.5247887 127.0364524]
 [ 37.5253356 127.0376706]
 [ 37.5257484 127.037568 ]
 [ 37.5256355 127.038642 ]
 [ 37.5256192 127.0410689]
 [ 37.5272337 127.0389428]
 [ 37.52693   127.0396096]
 [ 37.526763  127.0376871]
 [ 37.5251544 127.034564 ]
 [ 37.525566  127.0364243]
 [ 37.5254163 127.0367351]
 [ 37.5263192 127.0352007]
 [ 37.5260554 127.0353364]
 [ 37.5258659 127.0361738]
 [ 37.526579  127.0340173]
 [ 37.5267022 127.0349842]
 [ 37.5267429 127.0358887]
 [ 37.5266055 127.0367175]
 [ 37.5253915 127.0354683]
 [ 37.5255399 127.0401886]
 [ 37.5215969 127.0357429]
 [ 37.5225343 127.0360176]
 [ 37.5229257 127.0398356]
 [ 37.5221882 127.038995 ]
 [ 37.5251232 127.0389133]
 [ 37.5234529 127.0363994]
 [ 37.5236957 127.0357877]
 [ 37.5240631 127.0376394]
 [ 37.5243274 127.0373475]
 [ 37.5248578 127.0372004]
 [ 37.5255247 127.0368785]
 [ 37.5233162 127.0374228]
 [ 37.5241748 127.0377523]
 [ 37.5254192 127.0381911]
 [ 37.5239697 127.0385581]
 [ 37.522981  127.0362143]]"
"[[ 37.5181233 127.025218 ]
 [ 37.5217787 127.0255222]
 [ 37.5188342 127.0252121]
 [ 37.5210505 127.0261584]
 [ 37.5177083 127.0260209]
 [ 37.5186497 127.0242496]
 [ 37.5190769 127.0247078]
 [ 37.5188793 127.021733 ]
 [ 37.520621  127.0225949]
 [ 37.5207119 127.0219296]
 [ 37.51726   127.0243276]
 [ 37.5190215 127.0237719]
 [ 37.5191599 127.0237361]
 [ 37.521227  127.023199 ]
 [ 37.5172231 127.023784 ]
 [ 37.5193417 127.024908 ]
 [ 37.5196043 127.0259385]
 [ 37.5206822 127.0240036]]"
"[[ 37.527649  127.1248143]
 [ 37.5285963 127.1246222]
 [ 37.5281798 127.1236099]
 [ 37.5277697 127.1266434]
 [ 37.5291389 127.1237922]
 [ 37.5284063 127.124518 ]
 [ 37.5288871 127.124345 ]
 [ 37.5288545 127.1245569]
 [ 37.5265684 127.126611 ]
 [ 37.5261633 127.1260184]
 [ 37.5282292 127.1249365]]"
"[[ 37.538851  127.124463 ]
 [ 37.5391443 127.1273311]
 [ 37.5348763 127.1254257]
 [ 37.5394971 127.1246045]
 [ 37.5387094 127.1275037]
 [ 37.5355974 127.1294782]
 [ 37.5362392 127.1240305]
 [ 37.5394957 127.1280603]
 [ 37.5359894 127.1266811]
 [ 37.5358714 127.1285144]
 [ 37.5395537 127.1272517]
 [ 37.5399654 127.1282246]
 [ 37.538825  127.1271719]
 [ 37.5397897 127.1280965]
 [ 37.5360987 127.1251331]
 [ 37.5370054 127.1232294]
 [ 37.5388506 127.1264938]
 [ 37.5386798 127.1277632]
 [ 37.5363165 127.1248556]
 [ 37.5393343 127.1267134]
 [ 37.5364538 127.1270989]
 [ 37.5355119 127.1293785]
 [ 37.5385612 127.1269577]
 [ 37.536153  127.1267493]
 [ 37.5398434 127.1281785]
 [ 37.5362599 127.1263441]
 [ 37.5359931 127.127429 ]
 [ 37.5372371 127.1262841]
 [ 37.5414209 127.1294863]
 [ 37.5362293 127.1269566]
 [ 37.5369766 127.1262645]
 [ 37.5362963 127.126117 ]
 [ 37.5387776 127.1266044]
 [ 37.5384497 127.127466 ]
 [ 37.5361555 127.1256314]
 [ 37.5385638 127.1259676]
 [ 37.5364293 127.1231762]
 [ 37.5363335 127.1269147]
 [ 37.5373911 127.1260311]
 [ 37.5368695 127.1262861]
 [ 37.5355965 127.1291207]]"
"[[ 37.523168  127.1311612]
 [ 37.5244541 127.1318081]
 [ 37.5235687 127.133693 ]
 [ 37.5250624 127.1303484]
 [ 37.5237151 127.1337524]
